IID	value
id_1_1	-0.561813111525209
id_2_1	-3.50430087056039
id_21_1	1.87097753712378
id_31_1	-3.04671976131321
id_41_1	0.772365248455666
id_51_1	-5.29606033978844
id_61_1	-3.21661879810861
id_71_1	-1.71254140133233
id_3_1	-0.84949518397699
id_4_1	3.71485300749084
id_22_1	0.824481249594681
id_32_1	2.21077561071457
id_42_1	2.61624071882274
id_52_1	-0.274131039073428
id_62_1	0.706698213938298
id_72_1	0.588915178281915
id_5_1	0.706698213938298
id_6_1	-0.391914074729811
id_23_1	1.51762843015463
id_33_1	-0.391914074729811
id_43_1	0.131334069034736
id_53_1	1.80531050260641
id_63_1	-0.509697110386194
id_73_1	2.78613975561813
id_7_1	1.51762843015463
id_8_1	0.706698213938298
id_24_1	0.706698213938298
id_34_1	0.824481249594681
id_44_1	-1.37274332774154
id_54_1	1.28206235884186
id_64_1	0.706698213938298
id_74_1	1.68752746695002
id_9_1	-1.49052636339792
id_10_1	2.38067464750997
id_25_1	0.758814215077313
id_35_1	1.80531050260641
id_45_1	2.49845768316635
id_55_1	-0.10423200227803
id_65_1	-1.20284429094614
id_75_1	2.09299257505819
id_11_1	-2.52347161754866
id_12_1	0.249117104691119
id_26_1	-1.18929325756779
id_36_1	-4.72069619488488
id_46_1	-2.00022347378411
id_56_1	-2.92893672565682
id_66_1	-1.42485932888055
id_76_1	2.44634168202734
id_13_1	-2.92893672565682
id_14_1	1.68752746695002
id_27_1	-4.2631150856377
id_37_1	-0.156348003417045
id_47_1	-1.13717725642877
id_57_1	0.588915178281915
id_67_1	-2.01377450716247
id_77_1	0.994380286390079
id_15_1	-5.36172737430581
id_16_1	-4.14533204998132
id_28_1	0.301233105830134
id_38_1	-5.12616130299304
id_48_1	-0.967278219633373
id_58_1	-11.0246878544418
id_68_1	-9.35071142087008
id_78_1	-3.85764997752954
id_17_1	3.42717093503906
id_18_1	3.07382182806991
id_29_1	2.32855864637095
id_39_1	1.28206235884186
id_49_1	4.69568226050257
id_59_1	-0.274131039073428
id_69_1	1.51762843015463
id_79_1	-0.509697110386194
id_19_1	3.13948886258728
id_20_1	-2.23578954509688
id_30_1	0.654582212799283
id_40_1	-0.613929112664223
id_50_1	3.54495397069545
id_60_1	-1.66042540019332
id_70_1	0.824481249594681
id_80_1	-3.56996790507775
id_1_2	2.26289161185359
id_2_2	1.56974443129364
id_21_2	3.88475204428624
id_31_2	4.4601161891898
id_41_2	1.68752746695002
id_51_2	1.11216332204646
id_61_2	-2.70692168772241
id_71_2	-0.561813111525209
id_3_2	-1.66042540019332
id_4_2	-2.06589050830148
id_22_2	-0.0385649677606616
id_32_2	-1.9481074726451
id_42_2	-1.49052636339792
id_52_2	-0.326247040212443
id_62_2	-1.54264236453693
id_72_2	-0.0385649677606616
id_5_2	0.0135510333783533
id_6_2	3.07382182806991
id_23_2	2.78613975561813
id_33_2	2.90392279127452
id_43_2	-1.49052636339792
id_53_2	0.876597250733696
id_63_2	-0.10423200227803
id_73_2	2.78613975561813
id_7_2	3.25727189824367
id_8_2	2.44634168202734
id_24_2	3.42717093503906
id_34_2	5.91207758482706
id_44_2	5.62439551237528
id_54_2	2.8518067901355
id_64_2	0.5367991771429
id_74_2	2.09299257505819
id_9_2	-0.10423200227803
id_10_2	-2.87682072451781
id_25_2	0.876597250733696
id_35_2	0.183450070173751
id_45_2	0.419016141486517
id_55_2	0.0135510333783533
id_65_2	-5.07404530185403
id_75_2	0.0135510333783533
id_11_2	-1.7782084358497
id_12_2	-2.87682072451781
id_26_2	-2.01377450716247
id_36_2	-4.49868115695047
id_46_2	-2.01377450716247
id_56_2	-1.6083093990543
id_66_2	0.301233105830134
id_76_2	-1.4384103622589
id_13_2	-0.731712148320607
id_14_2	-3.85764997752954
id_27_2	-7.03570380787748
id_37_2	-1.18929325756779
id_47_2	-2.52347161754866
